iter	RMSE
0	199.0250999
1	196.0258398
2	193.2624204
3	190.873011
4	188.2618747
5	185.9339401
6	183.5050727
7	181.1585391
8	178.9133042
9	176.818345
10	174.8484791
11	172.8604914
12	171.4353582
13	169.6048722
14	167.9118355
15	166.2454989
16	164.7400599
17	163.1785385
18	161.2742372
19	159.5111457
20	157.920336
21	156.5763806
22	155.1284759
23	153.8058843
24	152.8099663
25	151.656275
26	150.788777
27	149.6302163
28	148.5888825
29	147.2638207
30	145.8575947
31	144.778109
32	143.6285372
33	142.4361751
34	141.4618376
35	140.7292487
36	139.7726562
37	138.6780276
38	137.8581145
39	137.3675909
40	136.6913822
41	135.9556329
42	135.2517408
43	134.4408946
44	133.7782611
45	133.1721382
46	132.1987078
47	131.7454136
48	130.818228
49	130.000149
50	129.2272174
51	128.6032081
52	128.0500317
53	127.4559449
54	126.9463532
55	126.2198656
56	125.7683314
57	124.9774377
58	124.3936737
59	123.6819154
60	122.778953
61	122.4460991
62	121.96388
63	121.0691351
64	120.4322074
65	119.8502591
66	119.2491699
67	118.4715528
68	117.8024699
69	117.3464422
70	116.854169
71	116.4648404
72	115.8400574
73	115.537271
74	115.107907
75	114.4190243
76	114.1877431
77	113.8270881
78	113.2632924
79	112.6137245
80	112.3384299
81	111.9262916
82	111.5137595
83	111.0985312
84	110.7611306
85	110.3998205
86	109.9289786
87	109.6109029
88	109.3280254
89	109.1264796
90	108.9124347
91	108.6734379
92	108.2755915
93	108.0707576
94	107.5969756
95	107.2782126
96	106.9863829
97	106.6658703
98	106.3304303
99	105.8468964
100	105.5832945
101	105.2823993
102	104.9328152
103	104.6050366
104	104.2239818
105	103.7557056
106	103.2543087
107	103.0736476
108	102.7555508
109	102.2969887
110	102.028534
111	101.6790407
112	101.5186134
113	101.3250608
114	101.0129212
115	100.8507363
116	100.6621928
117	100.3914731
118	99.89125559
119	99.71809899
120	99.56939187
121	99.42848158
122	99.13312444
123	98.89736593
124	98.70330935
125	98.57513126
126	98.39559506
127	98.10741964
128	97.69030644
129	97.36045148
130	96.99327852
131	96.80779535
132	96.64884126
133	96.49750059
134	96.18528874
135	95.9059452
136	95.56472641
137	95.28321469
138	95.14017424
139	95.01355035
140	94.71129496
141	94.55155737
142	94.33451033
143	94.03113553
144	93.82873938
145	93.66063905
146	93.51028977
147	93.18229424
148	93.06992701
149	92.89605735
150	92.74114808
151	92.55655404
152	92.2685346
153	92.09826282
154	91.8882414
155	91.72149957
156	91.43067343
157	91.27234171
158	91.07731626
159	90.79526151
160	90.54517268
161	90.36139666
162	89.98412169
163	89.7161936
164	89.57112512
165	89.41941045
166	89.22018895
167	89.10181341
168	88.94396961
169	88.65464838
170	88.33640233
171	88.1947311
172	88.03410825
173	87.8879108
174	87.55021665
175	87.37893404
176	87.19363144
177	87.04096712
178	86.91150925
179	86.79131767
180	86.51131924
181	86.36581561
182	86.09739955
183	85.9032059
184	85.76444246
185	85.54607595
186	85.43780141
187	85.31905342
188	85.06594105
189	84.94362924
190	84.79003271
191	84.65330489
192	84.56375234
193	84.43652384
194	84.29548921
195	84.14597619
196	83.9526841
197	83.82487108
198	83.50090133
199	83.25067456
200	82.96788583
201	82.84457724
202	82.72501181
203	82.5909032
204	82.40058667
205	82.12622994
206	81.97729101
207	81.81297478
208	81.67006421
209	81.55045284
210	81.42539562
211	81.27579211
212	81.1553555
213	81.02419624
214	80.90240924
215	80.77796735
216	80.529819
217	80.29941059
218	80.16850921
219	80.01506361
220	79.91374244
221	79.77867413
222	79.66700729
223	79.55264883
224	79.42231717
225	79.27969952
226	79.16864816
227	79.01056516
228	78.73948832
229	78.62367802
230	78.50870195
231	78.42265374
232	78.26913306
233	78.17384032
234	78.06694639
235	77.92177991
236	77.83297862
237	77.5469217
238	77.44775785
239	77.36190422
240	77.26962708
241	77.06428877
242	76.97530722
243	76.7500305
244	76.65873145
245	76.56376099
246	76.27573021
247	76.050829
248	75.96636546
249	75.8811626
250	75.79917638
251	75.6290981
252	75.3897806
253	75.13524094
254	75.0414287
255	74.93412821
256	74.79576526
257	74.71241493
258	74.48398144
259	74.40377538
260	74.16309496
261	74.00168996
262	73.92021313
263	73.73606211
264	73.51650707
265	73.42486249
266	73.34313312
267	73.27059457
268	72.99020937
269	72.7797755
270	72.71140521
271	72.63831546
272	72.56997511
273	72.42969187
274	72.30443997
275	72.21785374
276	72.14955504
277	71.9524455
278	71.80743927
279	71.64854095
280	71.57879144
281	71.50766737
282	71.43974134
283	71.36487114
284	71.27575328
285	71.21463085
286	71.06739213
287	70.82012155
288	70.75794842
289	70.69681897
290	70.63777843
291	70.46279488
292	70.36574456
293	70.15590607
294	70.09744033
295	70.02342491
296	69.94351241
297	69.88016587
298	69.68056213
299	69.5785215
300	69.5205178
301	69.45288805
302	69.25469682
303	69.12706119
304	69.05635261
305	68.99956536
306	68.92809324
307	68.87213346
308	68.81302019
309	68.76133084
310	68.58429443
311	68.50032515
312	68.28729816
313	68.16103124
314	68.10420409
315	67.88138995
316	67.72266963
317	67.56925659
318	67.48180865
319	67.35518876
320	67.28084973
321	67.16907904
322	67.0873397
323	66.9725937
324	66.92112483
325	66.86573486
326	66.81660985
327	66.70633235
328	66.65724236
329	66.55968078
330	66.50587749
331	66.41810305
332	66.33512365
333	66.28622366
334	66.23801792
335	66.18790438
336	66.14073663
337	66.04100201
338	65.90425368
339	65.78454781
340	65.68259504
341	65.6337911
342	65.57132365
343	65.45482048
344	65.33528073
345	65.26088744
346	65.19846292
347	65.02522062
348	64.96593432
349	64.91784445
350	64.76436736
351	64.71658236
352	64.60510409
353	64.46976578
354	64.25210538
355	64.18910105
356	64.11135676
357	63.99534886
358	63.91651481
359	63.86904925
360	63.80782764
361	63.72129391
362	63.66145476
363	63.57751277
364	63.52363517
365	63.47994578
366	63.42485542
367	63.3483794
368	63.30194387
369	63.260447
370	63.17852194
371	63.12389069
372	62.99289207
373	62.91441662
374	62.86913471
375	62.76880287
376	62.71130122
377	62.67043683
378	62.6273921
379	62.56221885
380	62.48292888
381	62.40411132
382	62.29647034
383	62.25361216
384	62.16146176
385	61.98956786
386	61.94847429
387	61.90670246
388	61.86357278
389	61.73766554
390	61.69470712
391	61.65399813
392	61.61219663
393	61.48614092
394	61.44916958
395	61.39324966
396	61.35405806
397	61.23136934
